~/Development/openai main*
❯ python brace-tag-image.py ./test-images
処理中: ./test-images/img8.jpeg
付与されたタグ: 該当するタグは以下です：

- #顔貌写真
- #真顔
- #正面

処理中: ./test-images/img5.png
付与されたタグ: 該当するタグは以下です:

- #口腔内写真
- #下顎

処理中: ./test-images/img4.png
付与されたタグ: 該当するタグは以下です：

- #口腔内写真
- #上顎
- #下顎

処理中: ./test-images/img3.png
付与されたタグ: この画像に該当するタグは以下の通りです：

- #口腔内写真
- #真顔
- #右側
- #左側
- #下顎

処理中: ./test-images/img2.png
付与されたタグ: 該当するタグは以下です：

- #口腔内写真
- #正面

処理中: ./test-images/img1.png
付与されたタグ: この画像には以下のタグが該当します: 
- #口腔内写真 
- #正面 
- #下顎

処理中: ./test-images/img6.jpeg
付与されたタグ: 該当するタグは以下です：

- #正面
- #左側

処理中: ./test-images/img7.jpeg
付与されたタグ: 該当するタグは以下です：

- #顔貌写真
- #真顔
- #笑顔
- #正面
